iteration,residual,time_seconds
0,1.326121973933e+02,0.000000
1,1.182704004422e+02,0.000034
2,1.066105192922e+02,0.000066
3,9.703624008211e+01,0.000099
4,8.909543417970e+01,0.000131
5,8.244312370817e+01,0.000214
6,7.681454280266e+01,0.000247
7,7.200534934104e+01,0.000382
8,6.785696695457e+01,0.000422
9,6.424565201827e+01,0.000454
10,6.107429295311e+01,0.000486
11,5.826623020659e+01,0.000518
12,5.576058015852e+01,0.000551
13,5.350868384383e+01,0.000594
14,5.147140021962e+01,0.000712
15,4.961703561514e+01,0.000744
16,4.791975383923e+01,0.000776
17,4.635835050224e+01,0.000808
18,4.491530414976e+01,0.000841
19,4.357603844949e+01,0.000873
20,4.232834584050e+01,0.000905
21,4.116193515347e+01,0.000937
22,4.006807478109e+01,0.000969
23,3.903930979083e+01,0.001001
24,3.806923650025e+01,0.001033
25,3.715232190317e+01,0.001065
26,3.628375826112e+01,0.001107
27,3.545934539345e+01,0.001141
28,3.467539488750e+01,0.001173
29,3.392865173873e+01,0.001216
30,3.321622991701e+01,0.001257
31,3.253555911360e+01,0.001345
32,3.188434050791e+01,0.001382
33,3.126050984573e+01,0.001427
34,3.066220647257e+01,0.001462
35,3.008774724009e+01,0.001494
36,2.953560441895e+01,0.001527
37,2.900438692016e+01,0.001559
38,2.849282426104e+01,0.001591
39,2.799975281783e+01,0.001628
40,2.752410399132e+01,0.001671
41,2.706489397969e+01,0.001713
42,2.662121490678e+01,0.001755
43,2.619222709810e+01,0.001799
44,2.577715233212e+01,0.001841
45,2.537526792361e+01,0.001883
46,2.498590151882e+01,0.001928
47,2.460842650238e+01,0.001977
48,2.424225793103e+01,0.002027
49,2.388684892290e+01,0.002072
50,2.354168744181e+01,0.002115
51,2.320629342512e+01,0.002155
52,2.288021621131e+01,0.002197
53,2.256303222980e+01,0.002239
54,2.225434292084e+01,0.002281
55,2.195377285784e+01,0.002324
56,2.166096804828e+01,0.002369
57,2.137559439260e+01,0.002412
58,2.109733628319e+01,0.002455
59,2.082589532793e+01,0.002500
60,2.056098918477e+01,0.002533
61,2.030235049550e+01,0.002565
62,2.004972590836e+01,0.002606
63,1.980287518043e+01,0.002646
64,1.956157035179e+01,0.002690
65,1.932559498432e+01,0.002736
66,1.909474345903e+01,0.002782
67,1.886882032635e+01,0.002820
68,1.864763970441e+01,0.002853
69,1.843102472102e+01,0.002885
70,1.821880699547e+01,0.002917
71,1.801082615656e+01,0.002949
72,1.780692939388e+01,0.002981
73,1.760697103949e+01,0.003013
74,1.741081217738e+01,0.003046
75,1.721832027869e+01,0.003078
76,1.702936886033e+01,0.003110
77,1.684383716549e+01,0.003195
78,1.666160986400e+01,0.003238
79,1.648257677136e+01,0.003275
80,1.630663258485e+01,0.003319
81,1.613367663546e+01,0.003356
82,1.596361265467e+01,0.003388
83,1.579634855474e+01,0.003421
84,1.563179622189e+01,0.003453
85,1.546987132116e+01,0.003485
86,1.531049311243e+01,0.003528
87,1.515358427660e+01,0.003570
88,1.499907075150e+01,0.003610
89,1.484688157666e+01,0.003649
90,1.469694874658e+01,0.003682
91,1.454920707176e+01,0.003714
92,1.440359404719e+01,0.003746
93,1.426004972766e+01,0.003779
94,1.411851660965e+01,0.003811
95,1.397893951923e+01,0.003843
96,1.384126550569e+01,0.003876
97,1.370544374065e+01,0.003908
98,1.357142542211e+01,0.003940
99,1.343916368338e+01,0.003972
100,1.330861350646e+01,0.004005
101,1.317973163969e+01,0.004037
102,1.305247651939e+01,0.004070
103,1.292680819532e+01,0.004110
104,1.280268825971e+01,0.004150
105,1.268007977963e+01,0.004189
106,1.255894723265e+01,0.004331
107,1.243925644544e+01,0.004376
108,1.232097453530e+01,0.004420
109,1.220406985441e+01,0.004465
110,1.208851193662e+01,0.004511
111,1.197427144674e+01,0.004682
112,1.186132013211e+01,0.004727
113,1.174963077639e+01,0.004760
114,1.163917715546e+01,0.004804
115,1.152993399526e+01,0.004872
116,1.142187693161e+01,0.004915
117,1.131498247174e+01,0.004989
118,1.120922795760e+01,0.005033
119,1.110459153071e+01,0.005073
120,1.100105209868e+01,0.005112
121,1.089858930311e+01,0.005152
122,1.079718348897e+01,0.005194
123,1.069681567521e+01,0.005227
124,1.059746752679e+01,0.005259
125,1.049912132784e+01,0.005293
126,1.040175995599e+01,0.005333
127,1.030536685781e+01,0.005375
128,1.020992602535e+01,0.005407
129,1.011542197364e+01,0.005440
130,1.002183971914e+01,0.005472
131,9.929164759216e+00,0.005504
132,9.837383052352e+00,0.005537
133,9.746480999305e+00,0.005569
134,9.656445425020e+00,0.005601
135,9.567263561327e+00,0.005633
136,9.478923030359e+00,0.005665
137,9.391411828682e+00,0.005698
138,9.304718312091e+00,0.005730
139,9.218831181046e+00,0.005762
140,9.133739466725e+00,0.005794
141,9.049432517657e+00,0.005827
142,8.965899986929e+00,0.005859
143,8.883131819914e+00,0.005891
144,8.801118242525e+00,0.005923
145,8.719849749958e+00,0.005956
146,8.639317095905e+00,0.005988
147,8.559511282219e+00,0.006020
148,8.480423549010e+00,0.006053
149,8.402045365155e+00,0.006094
150,8.324368419206e+00,0.006126
151,8.247384610675e+00,0.006159
152,8.171086041683e+00,0.006191
153,8.095465008957e+00,0.006223
154,8.020513996162e+00,0.006256
155,7.946225666551e+00,0.006288
156,7.872592855922e+00,0.006320
157,7.799608565869e+00,0.006352
158,7.727265957310e+00,0.006384
159,7.655558344292e+00,0.006416
160,7.584479188051e+00,0.006448
161,7.514022091312e+00,0.006481
162,7.444180792842e+00,0.006513
163,7.374949162215e+00,0.006545
164,7.306321194808e+00,0.006577
165,7.238291006993e+00,0.006609
166,7.170852831541e+00,0.006641
167,7.104001013215e+00,0.006674
168,7.037730004540e+00,0.006706
169,6.972034361762e+00,0.006738
170,6.906908740966e+00,0.006811
171,6.842347894363e+00,0.006844
172,6.778346666728e+00,0.006877
173,6.714899991991e+00,0.006909
174,6.652002889970e+00,0.006941
175,6.589650463242e+00,0.006973
176,6.527837894143e+00,0.007006
177,6.466560441898e+00,0.007038
178,6.405813439869e+00,0.007070
179,6.345592292923e+00,0.007103
180,6.285892474907e+00,0.007135
181,6.226709526233e+00,0.007167
182,6.168039051564e+00,0.007200
183,6.109876717598e+00,0.007232
184,6.052218250947e+00,0.007264
185,5.995059436108e+00,0.007296
186,5.938396113515e+00,0.007329
187,5.882224177681e+00,0.007361
188,5.826539575415e+00,0.007393
189,5.771338304117e+00,0.007425
190,5.716616410145e+00,0.007458
191,5.662369987255e+00,0.007490
192,5.608595175104e+00,0.007522
193,5.555288157823e+00,0.007554
194,5.502445162646e+00,0.007587
195,5.450062458601e+00,0.007619
196,5.398136355260e+00,0.007651
197,5.346663201538e+00,0.007684
198,5.295639384551e+00,0.007716
199,5.245061328517e+00,0.007748
200,5.194925493709e+00,0.007780
201,5.145228375456e+00,0.007813
202,5.095966503182e+00,0.007845
203,5.047136439490e+00,0.007877
204,4.998734779287e+00,0.007910
205,4.950758148951e+00,0.007942
206,4.903203205525e+00,0.007974
207,4.856066635958e+00,0.008006
208,4.809345156369e+00,0.008039
209,4.763035511354e+00,0.008071
210,4.717134473319e+00,0.008103
211,4.671638841839e+00,0.008168
212,4.626545443051e+00,0.008214
213,4.581851129076e+00,0.008253
214,4.537552777457e+00,0.008285
215,4.493647290637e+00,0.008317
216,4.450131595443e+00,0.008349
217,4.407002642610e+00,0.008381
218,4.364257406315e+00,0.008413
219,4.321892883739e+00,0.008487
220,4.279906094640e+00,0.008530
221,4.238294080957e+00,0.008567
222,4.197053906423e+00,0.008628
223,4.156182656198e+00,0.008661
224,4.115677436522e+00,0.008693
225,4.075535374374e+00,0.008726
226,4.035753617162e+00,0.008758
227,3.996329332410e+00,0.008790
228,3.957259707473e+00,0.008823
229,3.918541949254e+00,0.008855
230,3.880173283943e+00,0.008887
231,3.842150956761e+00,0.008920
232,3.804472231718e+00,0.008952
233,3.767134391384e+00,0.008984
234,3.730134736663e+00,0.009017
235,3.693470586589e+00,0.009049
236,3.657139278116e+00,0.009081
237,3.621138165933e+00,0.009114
238,3.585464622272e+00,0.009146
239,3.550116036738e+00,0.009178
240,3.515089816135e+00,0.009210
241,3.480383384307e+00,0.009243
242,3.445994181983e+00,0.009275
243,3.411919666629e+00,0.009307
244,3.378157312304e+00,0.009340
245,3.344704609525e+00,0.009372
246,3.311559065139e+00,0.009404
247,3.278718202192e+00,0.009439
248,3.246179559813e+00,0.009482
249,3.213940693097e+00,0.009527
250,3.181999172993e+00,0.009568
251,3.150352586200e+00,0.009611
252,3.118998535060e+00,0.009655
253,3.087934637459e+00,0.009697
254,3.057158526735e+00,0.009742
255,3.026667851583e+00,0.009783
256,2.996460275965e+00,0.009823
257,2.966533479025e+00,0.009868
258,2.936885155005e+00,0.009910
259,2.907513013164e+00,0.009951
260,2.878414777699e+00,0.009997
261,2.849588187670e+00,0.010043
262,2.821030996924e+00,0.010085
263,2.792740974027e+00,0.010128
264,2.764715902186e+00,0.010172
265,2.736953579190e+00,0.010205
266,2.709451817334e+00,0.010237
267,2.682208443360e+00,0.010269
268,2.655221298392e+00,0.010301
269,2.628488237869e+00,0.010333
270,2.602007131489e+00,0.010365
271,2.575775863145e+00,0.010455
272,2.549792330867e+00,0.010492
273,2.524054446763e+00,0.010535
274,2.498560136960e+00,0.010579
275,2.473307341552e+00,0.010623
276,2.448294014536e+00,0.010668
277,2.423518123763e+00,0.010702
278,2.398977650881e+00,0.010734
279,2.374670591278e+00,0.010774
280,2.350594954033e+00,0.010880
281,2.326748761856e+00,0.010924
282,2.303130051040e+00,0.010966
283,2.279736871406e+00,0.011009
284,2.256567286250e+00,0.011049
285,2.233619372289e+00,0.011089
286,2.210891219612e+00,0.011131
287,2.188380931626e+00,0.011172
288,2.166086625003e+00,0.011342
289,2.144006429629e+00,0.011401
290,2.122138488552e+00,0.011507
291,2.100480957928e+00,0.011661
292,2.079032006974e+00,0.011703
293,2.057789817909e+00,0.011821
294,2.036752585909e+00,0.011926
295,2.015918519047e+00,0.011966
296,1.995285838250e+00,0.012232
297,1.974852777237e+00,0.012270
298,1.954617582474e+00,0.012311
299,1.934578513117e+00,0.012352
300,1.914733840963e+00,0.012636
301,1.895081850392e+00,0.012771
302,1.875620838318e+00,0.012854
303,1.856349114133e+00,0.012949
304,1.837264999657e+00,0.014773
305,1.818366829081e+00,0.014845
306,1.799652948912e+00,0.014891
307,1.781121717926e+00,0.014936
308,1.762771507104e+00,0.014982
309,1.744600699584e+00,0.015027
310,1.726607690607e+00,0.015069
311,1.708790887455e+00,0.015115
312,1.691148709405e+00,0.015158
313,1.673679587666e+00,0.015198
314,1.656381965328e+00,0.015238
315,1.639254297304e+00,0.015321
316,1.622295050276e+00,0.015357
317,1.605502702635e+00,0.015389
318,1.588875744430e+00,0.015421
319,1.572412677307e+00,0.015453
320,1.556112014453e+00,0.015485
321,1.539972280540e+00,0.015517
322,1.523992011669e+00,0.015549
323,1.508169755308e+00,0.015581
324,1.492504070240e+00,0.015613
325,1.476993526502e+00,0.015645
326,1.461636705325e+00,0.015677
327,1.446432199083e+00,0.015709
328,1.431378611227e+00,0.015741
329,1.416474556230e+00,0.015772
330,1.401718659530e+00,0.015804
331,1.387109557469e+00,0.015836
332,1.372645897234e+00,0.015868
333,1.358326336799e+00,0.015900
334,1.344149544866e+00,0.015934
335,1.330114200804e+00,0.015978
336,1.316218994594e+00,0.016017
337,1.302462626764e+00,0.016091
338,1.288843808333e+00,0.016132
339,1.275361260752e+00,0.016173
340,1.262013715840e+00,0.016210
341,1.248799915730e+00,0.016283
342,1.235718612804e+00,0.016315
343,1.222768569638e+00,0.016386
344,1.209948558938e+00,0.016430
345,1.197257363481e+00,0.016466
346,1.184693776057e+00,0.016498
347,1.172256599406e+00,0.016530
348,1.159944646162e+00,0.016562
349,1.147756738789e+00,0.016594
350,1.135691709521e+00,0.016626
351,1.123748400306e+00,0.016658
352,1.111925662742e+00,0.016690
353,1.100222358019e+00,0.016722
354,1.088637356857e+00,0.016754
355,1.077169539449e+00,0.016786
356,1.065817795398e+00,0.016818
357,1.054581023658e+00,0.016850
358,1.043458132477e+00,0.016891
359,1.032448039333e+00,0.016924
360,1.021549670876e+00,0.016956
361,1.010761962870e+00,0.016988
362,1.000083860129e+00,0.017020
363,9.895143164632e-01,0.017052
364,9.790522946153e-01,0.017110
365,9.686967662027e-01,0.017142
366,9.584467116584e-01,0.017174
367,9.483011201713e-01,0.017207
368,9.382589896278e-01,0.017239
369,9.283193265525e-01,0.017271
370,9.184811460494e-01,0.017303
371,9.087434717438e-01,0.017335
372,8.991053357230e-01,0.017367
373,8.895657784785e-01,0.017399
374,8.801238488475e-01,0.017431
375,8.707786039549e-01,0.017464
376,8.615291091554e-01,0.017496
377,8.523744379757e-01,0.017528
378,8.433136720569e-01,0.017560
379,8.343459010969e-01,0.017592
380,8.254702227933e-01,0.017624
381,8.166857427863e-01,0.017656
382,8.079915746017e-01,0.017689
383,7.993868395942e-01,0.017721
384,7.908706668907e-01,0.017753
