iteration,residual,time_seconds
0,1.000000000000e+10,0.000000
1,3.750287966046e+01,0.000038
2,1.305200635671e+01,0.000074
3,4.933313254759e+00,0.000106
4,1.570503254923e+00,0.000136
5,4.784770848676e-01,0.000164
6,2.041936741431e-01,0.000192
7,7.077753974162e-02,0.000220
8,2.971827618093e-02,0.000247
9,9.896149601071e-03,0.000275
10,3.057433882110e-03,0.000302
11,1.143634349212e-03,0.000329
12,4.037426948781e-04,0.000358
13,1.247411416206e-04,0.000385
14,4.292476023514e-05,0.000412
15,1.519919612528e-05,0.000439
16,5.543253014403e-06,0.000467
17,1.746819414444e-06,0.000494
18,5.859720216121e-07,0.000521
19,2.210002950017e-07,0.000548
20,7.195444236168e-08,0.000575
21,2.306620803555e-08,0.000602
22,8.457467729417e-09,0.000629
