iteration,residual,time_seconds
0,1.000000000000e+10,0.000000
1,8.333173994020e+01,0.000073
2,5.108223102447e+01,0.000144
3,2.515323058337e+01,0.000209
4,1.478515053019e+01,0.000273
5,7.659930013572e+00,0.000335
6,3.637583621665e+00,0.000396
7,1.659561298886e+00,0.000457
8,9.661494332246e-01,0.000519
9,4.583591571129e-01,0.000580
10,2.584168943298e-01,0.000641
11,1.282736592697e-01,0.000702
12,6.321970933541e-02,0.000763
13,2.982109819330e-02,0.000825
14,1.743246271566e-02,0.000886
15,9.866585291791e-03,0.000947
16,4.627983701222e-03,0.001008
17,2.607692150402e-03,0.001093
18,1.220866305922e-03,0.001155
19,6.978215353655e-04,0.001241
20,3.131691507785e-04,0.001302
21,1.926995783530e-04,0.001364
22,8.608266204557e-05,0.001458
23,5.053281956000e-05,0.001535
24,2.335776903374e-05,0.001599
25,1.415105588544e-05,0.001660
26,6.340832580897e-06,0.001722
27,4.252506079470e-06,0.001783
28,1.893677852056e-06,0.001844
29,1.163019878521e-06,0.001905
30,5.405134825826e-07,0.001966
31,3.073578808918e-07,0.002027
32,1.424090874048e-07,0.002088
33,7.989139630339e-08,0.002150
34,3.975137692279e-08,0.002211
35,2.161987701317e-08,0.002272
36,1.117052682221e-08,0.002336
37,6.121841245800e-09,0.002435
